YEAR,TOPONIMIA,I,II,III,IV,IX
2017,Azua,0,2,2,3,29
2017,Bahoruco,0,2,4,3,16
2017,Barahona,0,6,4,3,35
2017,Dajabón,0,1,1,2,5
2017,Distrito Nacional,2,10,14,10,80
2017,Duarte,1,6,3,5,40
2017,El Seibo,0,0,1,1,10
2017,Elías Piña,0,1,2,3,11
2017,Espaillat,0,3,2,3,29
2017,Hato Mayor,0,0,7,6,10
2017,Hermanas Mirabal,0,1,2,1,12
2017,Independencia,0,1,1,1,10
2017,La Altagracia,0,1,2,2,19
2017,La Romana,0,3,2,2,11
2017,La Vega,1,3,4,6,33
2017,María Trinidad Sánchez,0,1,1,1,16
2017,Monseñor Nouel,0,0,2,5,18
2017,Monte Cristi,1,1,0,2,10
2017,Monte Plata,0,5,4,8,30
2017,Peravia,2,0,1,5,31
2017,Puerto Plata,2,4,5,4,17
2017,Samaná,0,2,1,3,11
2017,San Cristóbal,1,13,8,14,60
2017,San José de Ocoa,2,1,0,2,18
2017,San Juan,1,6,11,17,59
2017,San Pedro de Macorís,1,5,6,6,35
2017,Sánchez Ramírez,0,2,5,1,25
2017,Santiago,0,5,4,6,18
2017,Santiago Rodríguez,1,1,0,1,8
2017,Santo Domingo,2,17,29,35,128
2017,Valverde,0,0,0,1,3
2018,Azua,2,1,1,1,20
2018,Barahona,0,1,2,1,15
2018,Dajabón,0,1,1,0,0
2018,Distrito Nacional,1,10,13,23,87
2018,Duarte,1,0,2,2,9
2018,El Seibo,0,1,0,0,5
2018,Elías Piña,0,0,0,1,3
2018,Espaillat,0,0,0,0,6
2018,Hato Mayor,0,0,0,0,3
2018,Hermanas Mirabal,0,0,0,0,1
2018,Independencia,0,0,2,1,3
2018,La Altagracia,0,1,0,2,14
2018,La Romana,0,0,3,4,9
2018,La Vega,0,0,1,0,18
2018,María Trinidad Sánchez,0,0,0,0,9
2018,Monseñor Nouel,0,0,0,1,13
2018,Monte Cristi,0,0,1,1,0
2018,Monte Plata,0,2,3,0,18
2018,Pedernales,0,0,1,0,2
2018,Peravia,1,2,1,0,20
2018,Puerto Plata,0,0,0,1,3
2018,Samaná,0,0,1,0,12
2018,San Cristóbal,0,4,7,8,38
2018,San José de Ocoa,0,0,0,0,5
2018,San Juan,0,3,2,4,18
2018,San Pedro de Macorís,0,5,2,1,28
2018,Sánchez Ramírez,0,0,1,1,17
2018,Santiago,0,0,0,2,7
2018,Santiago Rodríguez,0,0,0,0,4
2018,Santo Domingo,13,48,45,89,718
2018,Valverde,0,0,1,1,1
2019,Azua,0,3,5,0,35
2019,Baoruco,0,0,2,0,25
2019,Barahona,0,2,1,2,43
2019,Dajabón,0,1,0,0,13
2019,Distrito Nacional,2,5,6,5,197
2019,Duarte,0,0,2,1,54
2019,El Seibo,0,2,0,2,18
2019,Elías Piña,0,0,0,0,19
2019,Espaillat,0,3,1,0,25
2019,Hato Mayor,0,1,4,1,29
2019,Hermanas Mirabal,1,0,0,4,16
2019,Independencia,0,0,0,0,8
2019,La Altagracia,0,0,0,2,27
2019,La Romana,1,0,0,0,6
2019,La Vega,0,1,1,1,39
2019,María Trinidad Sánchez,0,0,3,1,30
2019,Monseñor Nouel,0,0,0,1,23
2019,Monte Cristi,0,0,0,0,8
2019,Monte Plata,0,2,4,1,34
2019,Pedernales,0,0,0,0,5
2019,Peravia,1,0,1,1,31
2019,Puerto Plata,0,2,2,1,29
2019,Samaná,0,1,1,0,20
2019,San Cristóbal,0,1,0,1,93
2019,San José de Ocoa,0,0,3,0,28
2019,San Juan,0,1,2,2,91
2019,San Pedro de Macorís,0,3,2,2,34
2019,Sánchez Ramírez,0,2,0,3,27
2019,Santiago,0,0,3,0,23
2019,Santiago Rodríguez,0,3,2,0,9
2019,Santo Domingo,1,10,13,4,221
2019,Valverde,0,0,0,0,8
2020,Azua,0,1,1,1,22
2020,Baoruco,0,0,0,0,6
2020,Barahona,0,0,0,0,27
2020,Dajabón,0,0,0,0,7
2020,Distrito Nacional,0,1,1,0,209
2020,Duarte,0,0,1,1,24
2020,El Seibo,0,0,0,0,16
2020,Elías Piña,0,0,0,0,15
2020,Espaillat,0,1,0,0,12
2020,Hato Mayor,0,0,0,0,13
2020,Hermanas Mirabal,0,0,2,1,16
2020,Independencia,0,0,0,0,2
2020,La Altagracia,0,1,0,0,16
2020,La Romana,0,0,0,0,7
2020,La Vega,0,3,0,0,26
2020,María Trinidad Sánchez,0,0,1,0,14
2020,Monseñor Nouel,0,0,0,0,12
2020,Monte Cristi,0,0,0,0,7
2020,Monte Plata,0,0,1,0,30
2020,Pedernales,0,0,0,0,2
2020,Peravia,0,0,0,0,23
2020,Puerto Plata,0,0,0,0,20
2020,Samaná,0,0,0,0,6
2020,San Cristóbal,0,2,0,0,58
2020,San José de Ocoa,0,1,0,0,12
2020,San Juan,0,2,0,0,66
2020,San Pedro de Macorís,0,1,0,0,17
2020,Sánchez Ramírez,1,0,0,0,25
2020,Santiago,0,0,0,0,13
2020,Santiago Rodríguez,0,0,0,0,3
2020,Santo Domingo,0,5,4,1,204
2020,Valverde,0,0,0,0,2
2021,Azua,0,1,0,0,23
2021,Baoruco,0,1,1,0,6
2021,Barahona,0,0,2,0,20
2021,Dajabón,0,0,0,0,6
2021,Distrito Nacional,0,3,0,1,286
2021,Duarte,0,1,0,0,19
2021,El Seibo,0,2,0,0,9
2021,Elías Piña,0,0,0,0,11
2021,Espaillat,0,0,1,0,7
2021,Hato Mayor,0,0,0,0,9
2021,Hermanas Mirabal,0,0,0,0,3
2021,Independencia,0,1,0,0,3
2021,La Altagracia,0,1,0,0,14
2021,La Romana,0,0,0,0,6
2021,La Vega,0,0,0,0,11
2021,María Trinidad Sánchez,0,0,1,0,13
2021,Monseñor Nouel,0,1,0,0,9
2021,Monte Cristi,0,0,0,0,5
2021,Monte Plata,0,1,0,0,20
2021,Pedernales,0,0,0,0,2
2021,Peravia,0,0,0,0,8
2021,Puerto Plata,0,1,0,0,9
2021,Samaná,0,0,1,1,5
2021,San Cristóbal,0,0,0,0,50
2021,San José de Ocoa,0,0,0,0,8
2021,San Juan,0,1,1,0,38
2021,San Pedro de Macorís,0,1,0,0,17
2021,Sánchez Ramírez,0,0,2,1,13
2021,Santiago,0,0,0,0,14
2021,Santiago Rodríguez,0,0,0,0,2
2021,Santo Domingo,0,4,3,0,133
2021,Valverde,0,0,0,0,4
